run,model,graph_type,method,Full_Parse_OK,Total_triples_in_KG,Valid_triples,Invalid_triples,Distinct_classes_used,Class_Compliance,Class_Coverage,Distinct_properties_used,Property_Compliance,Property_Coverage
1,llava-llama3,observation,dpe,True,17,17,0,0,0.0,0.0,2,0.0,0.0
1,llava-llama3,observation,i2kg,True,31,31,0,5,0.0,0.0,9,0.0,0.0
1,llava-llama3,observation,d2kg,True,99,99,0,6,1.0,0.75,5,0.8,1.0
1,llava-llama3,observation,d2kg-rag,True,89,89,0,6,1.0,0.75,8,0.75,1.0
1,llama4-scout,observation,dpe,True,35,35,0,0,0.0,0.0,7,0.0,0.0
1,llama4-scout,observation,i2kg,True,41,41,0,4,1.0,0.5,4,0.75,1.0
1,llama4-scout,observation,d2kg,True,101,101,0,9,0.5555555555555556,0.5,8,0.625,1.0
1,llama4-scout,observation,d2kg-rag,False,28,0,28,0,0.0,0.0,0,0.0,0.0
1,llama4-maverick,observation,dpe,True,10,10,0,0,0.0,0.0,5,0.0,0.0
1,llama4-maverick,observation,i2kg,True,92,92,0,6,1.0,0.75,7,0.8571428571428571,1.0
1,llama4-maverick,observation,d2kg,True,81,81,0,4,1.0,0.5,7,0.8571428571428571,1.0
1,llama4-maverick,observation,d2kg-rag,True,126,126,0,6,1.0,0.75,6,0.8333333333333334,1.0
1,gpt-o1,observation,i2kg,True,120,120,0,5,1.0,0.75,5,0.8,1.0
1,gpt-o1,observation,d2kg,True,86,86,0,5,0.8,0.5,5,0.8,0.6666666666666666
1,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
1,gpt-4.1-nano,observation,i2kg,True,83,83,0,6,0.0,0.0,6,0.5,0.6666666666666666
1,gpt-4.1-nano,observation,d2kg,False,22,0,22,0,0.0,0.0,0,0.0,0.0
1,gpt-4.1-nano,observation,d2kg-rag,True,53,53,0,18,0.0,0.0,13,0.0,0.0
1,llava-llama3,action,dpe,True,31,31,0,0,0.0,0.0,4,0.0,0.0
1,llava-llama3,action,i2kg,False,26,0,26,0,0.0,0.0,0,0.0,0.0
1,llava-llama3,action,d2kg,True,99,99,0,5,1.0,0.8333333333333334,10,0.8,1.0
1,llava-llama3,action,d2kg-rag,True,84,84,0,5,1.0,0.8333333333333334,8,0.625,0.625
1,llama4-scout,action,dpe,True,31,31,0,0,0.0,0.0,4,0.0,0.0
1,llama4-scout,action,i2kg,True,76,76,0,3,1.0,0.5,8,0.75,0.75
1,llama4-scout,action,d2kg,True,97,97,0,6,1.0,0.8333333333333334,11,0.7272727272727273,1.0
1,llama4-scout,action,d2kg-rag,True,53,53,0,4,1.0,0.5,6,0.6666666666666666,0.5
1,llama4-maverick,action,dpe,True,5,5,0,0,0.0,0.0,3,0.0,0.0
1,llama4-maverick,action,i2kg,True,105,105,0,6,1.0,0.8333333333333334,10,0.8,1.0
1,llama4-maverick,action,d2kg,True,39,39,0,6,1.0,0.8333333333333334,8,0.875,0.875
1,llama4-maverick,action,d2kg-rag,True,66,66,0,10,1.0,1.0,9,0.7777777777777778,0.875
1,gpt-o1,action,i2kg,True,95,95,0,7,1.0,0.8333333333333334,8,0.875,0.875
1,gpt-o1,action,d2kg,True,332,332,0,7,1.0,0.8333333333333334,8,0.875,0.875
1,gpt-o1,action,d2kg-rag,True,134,134,0,3,0.0,0.0,7,0.0,0.0
1,gpt-4.1-nano,action,i2kg,True,60,60,0,4,0.5,0.3333333333333333,6,0.5,0.375
1,gpt-4.1-nano,action,d2kg,True,100,100,0,4,0.75,0.5,5,0.4,0.25
1,gpt-4.1-nano,action,d2kg-rag,False,11,0,11,0,0.0,0.0,0,0.0,0.0
2,llava-llama3,observation,dpe,True,17,17,0,0,0.0,0.0,3,0.0,0.0
2,llava-llama3,observation,i2kg,False,16,0,16,0,0.0,0.0,0,0.0,0.0
2,llava-llama3,observation,d2kg,True,95,95,0,3,1.0,0.75,5,0.8,0.6666666666666666
2,llava-llama3,observation,d2kg-rag,True,92,92,0,4,0.75,0.75,5,0.6,0.6666666666666666
2,llama4-scout,observation,dpe,True,24,24,0,0,0.0,0.0,4,0.0,0.0
2,llama4-scout,observation,i2kg,True,71,71,0,5,1.0,0.5,8,0.5,0.6666666666666666
2,llama4-scout,observation,d2kg,True,85,85,0,5,0.8,0.5,6,0.6666666666666666,1.0
2,llama4-scout,observation,d2kg-rag,True,101,101,0,6,0.8333333333333334,0.5,7,0.5714285714285714,0.3333333333333333
2,llama4-maverick,observation,dpe,True,18,18,0,0,0.0,0.0,4,0.0,0.0
2,llama4-maverick,observation,i2kg,True,120,120,0,5,1.0,0.5,7,0.8571428571428571,1.0
2,llama4-maverick,observation,d2kg,True,85,85,0,6,0.8333333333333334,0.5,8,0.875,1.0
2,llama4-maverick,observation,d2kg-rag,True,71,71,0,5,0.8,0.5,4,0.75,0.6666666666666666
2,gpt-o1,observation,i2kg,True,124,124,0,5,1.0,0.75,5,0.8,1.0
2,gpt-o1,observation,d2kg,True,106,106,0,6,1.0,0.75,5,0.8,0.6666666666666666
2,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
2,gpt-4.1-nano,observation,i2kg,False,19,2,17,0,0.0,0.0,1,0.0,0.0
2,gpt-4.1-nano,observation,d2kg,True,116,116,0,3,0.0,0.0,4,0.5,0.6666666666666666
2,gpt-4.1-nano,observation,d2kg-rag,False,15,0,15,0,0.0,0.0,0,0.0,0.0
2,llava-llama3,action,dpe,True,67,67,0,0,0.0,0.0,7,0.0,0.0
2,llava-llama3,action,i2kg,False,4,0,4,0,0.0,0.0,0,0.0,0.0
2,llava-llama3,action,d2kg,True,92,92,0,6,1.0,0.8333333333333334,9,0.7777777777777778,0.875
2,llava-llama3,action,d2kg-rag,True,70,70,0,4,1.0,0.6666666666666666,7,0.7142857142857143,0.625
2,llama4-scout,action,dpe,True,53,53,0,0,0.0,0.0,13,0.0,0.0
2,llama4-scout,action,i2kg,False,115,0,115,0,0.0,0.0,0,0.0,0.0
2,llama4-scout,action,d2kg,False,50,0,50,0,0.0,0.0,0,0.0,0.0
2,llama4-scout,action,d2kg-rag,True,70,70,0,5,1.0,0.6666666666666666,9,0.5555555555555556,0.625
2,llama4-maverick,action,dpe,True,5,5,0,0,0.0,0.0,4,0.0,0.0
2,llama4-maverick,action,i2kg,True,125,125,0,6,1.0,0.8333333333333334,7,0.8571428571428571,0.75
2,llama4-maverick,action,d2kg,True,86,86,0,8,1.0,0.8333333333333334,9,0.8888888888888888,1.0
2,llama4-maverick,action,d2kg-rag,True,148,148,0,5,1.0,0.8333333333333334,8,0.875,0.875
2,gpt-o1,action,i2kg,True,186,186,0,7,1.0,0.8333333333333334,8,0.875,0.875
2,gpt-o1,action,d2kg,True,212,212,0,7,1.0,0.8333333333333334,8,0.875,0.875
2,gpt-o1,action,d2kg-rag,True,122,122,0,3,0.0,0.0,6,0.0,0.0
2,gpt-4.1-nano,action,i2kg,False,10,0,10,0,0.0,0.0,0,0.0,0.0
2,gpt-4.1-nano,action,d2kg,True,140,140,0,3,1.0,0.5,7,0.5714285714285714,0.5
2,gpt-4.1-nano,action,d2kg-rag,True,97,97,0,1,0.0,0.0,9,0.0,0.0
3,llava-llama3,observation,dpe,True,19,19,0,0,0.0,0.0,9,0.0,0.0
3,llava-llama3,observation,i2kg,False,15,0,15,0,0.0,0.0,0,0.0,0.0
3,llava-llama3,observation,d2kg,True,93,93,0,6,0.8333333333333334,0.5,6,0.8333333333333334,1.0
3,llava-llama3,observation,d2kg-rag,True,130,130,0,3,1.0,0.75,8,0.75,1.0
3,llama4-scout,observation,dpe,True,23,23,0,0,0.0,0.0,3,0.0,0.0
3,llama4-scout,observation,i2kg,False,78,0,78,0,0.0,0.0,0,0.0,0.0
3,llama4-scout,observation,d2kg,True,74,74,0,5,1.0,0.5,8,0.75,1.0
3,llama4-scout,observation,d2kg-rag,True,135,135,0,6,1.0,0.75,7,0.7142857142857143,0.6666666666666666
3,llama4-maverick,observation,dpe,True,14,14,0,0,0.0,0.0,4,0.0,0.0
3,llama4-maverick,observation,i2kg,True,79,79,0,6,0.8333333333333334,0.5,6,0.8333333333333334,1.0
